Element,Incentive 1,Incentive 2,Incentive 3,Incentive 4,Incentive 5,Incentive 6,Incentive 7,Incentive 8,Incentive 9,Incentive 10,Incentive 11,Incentive 12,Incentive 13,Incentive 14,Incentive 15,Incentive 16,Incentive 17,Incentive 18,Incentive 19,Incentive 20,Incentive 21,Incentive 22,Incentive 23,Incentive 24
1346,-0.233413233,-0.187152097,-0.007131673,-0.018787453,-2.71E-12,-0.233413233,-5.14E-12,-5.14E-12,-0.105747355,-0.048859678,-0.059012195,-0.056674344,-0.136555091,-0.150437336,-0.014712941,-0.155143888,-0.04028487,-0.115916503,-0.000891044,-0.535675891,-2.49E-12,-2.49E-12,-0.150437336,-0.519106149
1347,-0.518392302,-0.415649983,-0.014405208,-0.038703932,-1.12E-12,-0.518392302,-6.33E-13,-6.33E-13,-0.148713116,-0.045817414,-0.086923852,-0.073322584,-0.199318281,-0.216705005,-0.01586661,-0.344562286,-0.037094993,-0.167972568,-0.00081791,-0.656784511,-2.13E-12,-2.13E-12,-0.217308474,-0.422105893
1348,-0.290563649,-0.232975635,-0.006680824,-0.0173134,-2.06E-11,-0.290563649,-2.26E-11,-2.26E-11,-0.104263222,-0.043629997,-0.061763616,-0.061763616,-0.127991403,-0.139633617,-0.015109105,-0.193130327,-0.035324003,-0.106488771,-0.000778861,-0.690082727,-1.91E-11,-1.91E-11,-0.139633617,-0.374567392
1349,-0.534184458,-0.428312226,-0.016244555,-0.044272523,1.54E-12,-0.534184458,-4.84E-13,-4.84E-13,-0.175416583,-0.053959875,-0.111372994,-0.081376824,-0.303534348,-0.30119296,-0.018686351,-0.355058934,-0.043687346,-0.25810753,-0.000963265,-0.776231526,5.34E-12,5.34E-12,-0.32110865,-0.412666654
1350,-0.136361063,-0.109335099,-0.004895961,-0.012553366,1.77E-12,-0.136361063,-2.80E-12,-2.80E-12,-0.055326175,-0.041013119,-0.025033769,-0.025033769,-0.074228139,-0.083454301,-0.007311172,-0.090635759,-0.033140559,-0.064065085,0.000416413,-0.357472828,4.84E-13,4.84E-13,-0.083454301,-0.564290335
1351,-0.792935176,-0.635780067,-0.016365532,-0.043369898,-6.48E-11,-0.792935176,-5.20E-11,-5.20E-11,-0.131148547,-0.041858171,-0.079548714,-0.080584947,-0.158486302,-0.171911778,-0.01449552,-0.42935594,-0.033889485,-0.130953952,-0.000747232,-0.797697885,-6.33E-11,-6.33E-11,-0.171911778,-0.246871059
1352,-0.712344392,-0.571161904,-0.012932006,-0.033836266,-8.05E-12,-0.712344392,-5.00E-12,-5.00E-12,-0.05004851,-0.042658359,-0.031063487,-0.031063487,-0.060307821,-0.065388155,-0.013610399,-0.473477348,-0.034537339,-0.049289234,-0.000761516,-0.850136158,-1.44E-11,-1.44E-11,-0.065388155,-0.133397793
1353,-0.501574582,-0.402165437,-0.009908867,-0.027214409,-3.20E-13,-0.501574582,-3.52E-12,-3.52E-12,-0.169393849,-0.042687319,-0.08864888,-0.098757691,-0.204240503,-0.221286504,-0.014782655,-0.333383972,-0.034560785,-0.169405381,-0.000762033,-0.824705091,-1.55E-12,-1.55E-12,-0.221286504,-0.266336689
1354,-0.304607541,-0.24423611,-0.006319756,-0.016907117,9.41E-14,-0.304607541,-1.59E-12,-1.59E-12,-0.245977959,-0.045948216,-0.098429391,-0.111584162,-0.385793183,-0.301223305,-0.015911906,-0.202464948,-0.037200894,-0.324551984,-0.000820245,-0.870479118,-1.21E-11,-1.21E-11,-0.350926804,-0.273898504
1355,-0.079177272,-0.0634848,-0.002731749,-0.006964988,1.15E-14,-0.079177272,-3.68E-13,-3.68E-13,-0.027531452,-0.035906232,-0.012712749,-0.012712749,-0.03682868,-0.041412434,-0.003913354,-0.052627136,-0.03062212,-0.031390079,-0.000531008,-0.420839012,-1.46E-12,-1.46E-12,-0.041412434,-0.583038992
1356,-1.110495547,-0.890401832,-0.017780006,-0.04677922,-8.82E-11,-1.110495547,-8.70E-11,-8.70E-11,-0.356233275,-0.052254277,-0.111938115,-0.158624459,-0.807940939,-0.348361849,-0.018095701,-0.703113063,-0.042306449,-0.678748341,-0.000932818,-1.055536402,-9.28E-11,-9.28E-11,-0.418034219,-0.158611588
1357,-0.496351307,-0.397977384,-0.015085884,-0.039459491,2.18E-13,-0.496351307,4.88E-11,4.88E-11,-0.143893986,-0.050373537,-0.086257167,-0.072247967,-0.190941393,-0.208809383,-0.017444399,-0.329912193,-0.040783752,-0.161498303,-0.000899244,-0.676467677,6.10E-12,6.10E-12,-0.208809383,-0.49778544
1358,-0.65680028,-0.526626311,-0.016441811,-0.043251892,-1.12E-12,-0.65680028,5.87E-12,5.87E-12,-0.027053241,-0.034826421,-0.015823856,-0.015823856,-0.03341891,-0.036573091,-0.006797301,-0.363529673,-0.03031759,-0.027547099,-0.000760301,-0.7072614,1.19E-11,1.19E-11,-0.036573091,-0.372607671
1359,-0.61590844,-0.493838994,-0.013973877,-0.037809922,-2.69E-11,-0.61590844,-2.11E-11,-2.11E-11,-0.143239708,-0.044937034,-0.084218785,-0.084389919,-0.17443309,-0.189701636,-0.015561733,-0.409378804,-0.036382214,-0.145109735,-0.000802194,-0.818970832,-1.69E-11,-1.69E-11,-0.189701636,-0.374886686
1360,-0.256958558,-0.206030876,-0.006293872,-0.017782465,6.37E-12,-0.256958558,4.40E-12,4.40E-12,-0.040429269,-0.039080649,-0.023035487,-0.023035487,-0.050437963,-0.0553821,-0.009617177,-0.170793872,-0.032100613,-0.041875763,-0.000738743,-0.594131164,5.23E-12,5.23E-12,-0.0553821,-0.408056515
1361,-0.092233973,-0.073953739,-0.00284963,-0.007626502,5.39E-12,-0.092233973,5.18E-12,5.18E-12,-0.040429596,-0.038020839,-0.020152518,-0.020152518,-0.052816163,-0.058911507,-0.007052815,-0.061305595,-0.031096182,-0.044760942,-0.000789906,-0.48239985,5.56E-12,5.56E-12,-0.058911507,-0.569060702
1362,-0.368375691,-0.295365786,-0.010727654,-0.027531764,2.84E-12,-0.368375691,6.89E-12,6.89E-12,-0.164178901,-0.047878947,-0.093827145,-0.077713509,-0.243022616,-0.247069395,-0.01658052,-0.244850029,-0.038764066,-0.206497676,-0.000854711,-0.637404492,7.50E-12,7.50E-12,-0.263840427,-0.453199699
1363,-1.102335856,-0.883859344,-0.023616483,-0.062242899,2.40E-14,-1.102335856,1.43E-12,1.43E-12,-0.254768595,-0.051967441,-0.111323661,-0.113444008,-0.426032195,-0.344372517,-0.017996369,-0.502847825,-0.042074219,-0.355428245,-0.000927697,-1.04268428,7.30E-12,7.30E-12,-0.401675886,-0.166572242
1364,-0.190543417,-0.152778828,-0.004708166,-0.012260795,1.49E-12,-0.190543417,3.65E-13,3.65E-13,-0.073640136,-0.042548832,-0.042505519,-0.042505519,-0.091351051,-0.10005841,-0.013677414,-0.126649403,-0.034448663,-0.076113367,-0.000759561,-0.611169898,9.19E-12,9.19E-12,-0.10005841,-0.403330169
1365,-0.315353338,-0.252852153,-0.009448172,-0.02688162,2.13E-12,-0.315353338,-1.31E-12,-1.31E-12,-0.03392846,-0.036358419,-0.018240367,-0.018240367,-0.04323903,-0.047834605,-0.007105175,-0.209607409,-0.030268066,-0.036205716,-0.000741539,-0.495041313,2.02E-12,2.02E-12,-0.047834605,-0.462385293
1366,-0.267456484,-0.214448175,-0.004175186,-0.011582825,3.29E-11,-0.267456484,3.33E-11,3.33E-11,-0.294745048,-0.044602706,-0.095547065,-0.137838634,-0.372348582,-0.297351374,-0.015445955,-0.177771578,-0.036111534,-0.309265635,-0.000796226,-0.900974662,3.94E-11,3.94E-11,-0.347924299,-0.109342436
1367,-0.194781449,-0.156176906,-0.006386378,-0.01666292,9.19E-12,-0.194781449,8.33E-12,8.33E-12,-0.091778898,-0.042001436,-0.049818006,-0.047763927,-0.120709613,-0.133505544,-0.011598292,-0.129466315,-0.034366706,-0.103005445,-0.000793966,-0.458736789,9.09E-12,9.09E-12,-0.133505544,-0.513682289
1368,-0.460586088,-0.367720598,-0.014597308,-0.038494905,3.36E-13,-0.460586088,0,0,-0.102421192,-0.045682499,-0.057694287,-0.054942497,-0.132059949,-0.145367986,-0.014247783,-0.304830158,-0.037163749,-0.111809556,-0.000819426,-0.567889922,0,0,-0.145367986,-0.520723959
1369,-0.152138701,-0.121985701,-0.002455655,-0.006192411,1.43E-11,-0.152138701,1.44E-11,1.44E-11,-0.233508334,-0.047375379,-0.101486632,-0.138414878,-0.279724403,-0.285645616,-0.016406134,-0.101122757,-0.038356363,-0.231764043,-0.000845722,-0.952757872,2.62E-11,2.62E-11,-0.302306272,-0.237848034
1370,-0.073995721,-0.059330202,-0.001725863,-0.004867574,-3.00E-13,-0.073995721,-5.86E-13,-5.86E-13,-0.088473269,-0.039576065,-0.050005741,-0.050005741,-0.110568862,-0.121388457,-0.013354032,-0.049183089,-0.032041832,-0.092808424,-0.000706492,-0.542694089,1.57E-12,1.57E-12,-0.121388457,-0.447336843
1371,-0.883760714,-0.708604515,-0.012485984,-0.032273338,-1.55E-13,-0.883760714,4.28E-13,4.28E-13,-0.328827164,-0.045689454,-0.097875075,-0.156748775,-0.398866652,-0.304596357,-0.015822297,-0.587413453,-0.036991393,-0.329128361,-0.000815626,-0.922926963,4.00E-12,4.00E-12,-0.36192094,-0.101431628
1372,-0.277203693,-0.222263544,-0.004386189,-0.011217014,3.90E-13,-0.277203693,-4.38E-13,-4.38E-13,-0.328639374,-0.04663738,-0.099905706,-0.149401973,-0.454965299,-0.310915869,-0.016150565,-0.184250302,-0.03775886,-0.379361891,-0.000832548,-0.942075082,-1.54E-12,-1.54E-12,-0.37092667,-0.155086889
1373,-0.260573167,-0.208929091,-0.009264934,-0.02365586,1.17E-11,-0.260573167,1.01E-11,1.01E-11,-0.121829395,-0.04973614,-0.075343088,-0.059338492,-0.174741231,-0.191887984,-0.016645094,-0.173196411,-0.040267698,-0.149530261,-0.000887865,-0.511508166,7.59E-12,7.59E-12,-0.191887984,-0.482160873
1374,-0.178188294,-0.142872417,-0.005666545,-0.014479745,5.86E-12,-0.178188294,6.72E-12,6.72E-12,-0.115871367,-0.049299556,-0.065084297,-0.059755079,-0.155664394,-0.171884547,-0.014165116,-0.118437264,-0.04047672,-0.133207955,-0.000919958,-0.550139204,6.07E-12,6.07E-12,-0.171884547,-0.581951263
1375,-0.170738588,-0.1368992,-0.006336262,-0.016899047,-1.57E-13,-0.170738588,-3.30E-13,-3.30E-13,-0.05400552,-0.042075328,-0.024446647,-0.024446647,-0.07244207,-0.081438585,-0.007143323,-0.113485632,-0.033968867,-0.062539493,0.000369911,-0.35946184,8.53E-13,8.53E-13,-0.081438585,-0.550593408
